tweetid,text,date,username,userid
2.76E+17,@aileenapolo: Google Person Finder activated for #PabloPH - https://t.co/btg6zOs7 @govph @philredcross @pcdspo #gbg #gdg,Wed Dec 05 01:33:25 CET 2012,jryap,15817096
2.76E+17,@aileenapolo: Google Person Finder activated for #PabloPH - http://t.co/R4ARMTeT�_�__ #rescuePH,Wed Dec 05 01:35:20 CET 2012,Kuya_Law,15082778
2.76E+17,#Philippines #Typhoon 'kills dozens' http://t.co/4AAbMzff #Bopha,Wed Dec 05 01:37:52 CET 2012,rimajustice,629565157
2.76E+17,Tif�__n #Bopha afecta en Filipinas Oc�_��ano Pac�__fico (4/12/2012) VIDEO: http://t.co/isJ2okyv via @Estacion_bcp,Wed Dec 05 01:38:00 CET 2012,climavzla,100621135
2.76E+17,@UNOCHA #pabloph #bopha #philippines Sitrep no1 out. 60000 displaced UN/NGO/Gov't assessment teams out at first light http://t.co/8aLz3rKX,Wed Dec 05 01:38:56 CET 2012,imogenwall,104306302
2.76E+17,[VIDEO] #PabloPH #RHbill the record-breaking PSEi all on the Rappler Newscast for December 4 2012 http://t.co/EmOGzaMy,Wed Dec 05 01:40:38 CET 2012,rapplerdotcom,330826792
2.76E+17,Get the latest on the #humanitarian impact of Typhoon #Bopha from #OCHA Philippines: http://t.co/CrbJWfAm,Wed Dec 05 01:41:33 CET 2012,OCHAAsiaPac,846652436
2.76E+17,Today assessment teams from RAFI will be deployed in Cebu to evaluate extent of damage of #PabloPH and to asses needs. http://t.co/3s560CPe,Wed Dec 05 01:41:47 CET 2012,rafiorgph,500446253
2.76E+17,12.05.12 6:30am #pabloph thank God! http://t.co/lGR6YOUQ,Wed Dec 05 01:42:31 CET 2012,justgerlyn,79618071
2.76E+17,@aileenapolo: Google Person Finder activated for #PabloPH - https://t.co/OREKttJ0 @govph @philredcross @pcdspo #gbgph #gdgph,Wed Dec 05 01:42:45 CET 2012,DevConPH,43207644
2.76E+17,Davao: donations #pabloPH - http://t.co/LC7eUqy1 #ReliefPH,Wed Dec 05 01:43:38 CET 2012,ReliefPHcom,744866954
